Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,company_age,python_jd,r,aws,spark,excel
"Scientist I, BioPharma Regulatory LBA - $5,000 Sign on Bonus",$33K - $73K (Glassdoor est.),Research Scientist,"KCAS Bioanalytical & Biomarker Services is seeking an individual interested in bioanalysis to work as a Scientist I within its GLP bioanalytical laboratory in Shawnee, Kansas. KCAS is a contract research organization (CRO) providing bioanalytical & biomarker services to pharmaceutical clients in support of drug developments, preclinical and clinical studies.

KCAS offers a full, competitive benefits package including paid time off, health, dental, vision, 401k, and more. Please see the careers page of the KCAS website for a full list of benefits.

This job ad is meant to provide a brief overview of the nature and level of work being performed and does not imply that these are the only duties to be performed.


The Scientist I acts as lead scientist for studies, with ability to carry out all aspects from study setup through reporting, as well as development. Utilize a strong base in scientific principles/theory to assess data integrity and troubleshooting.",Kcas Bioanalytical & Biomarker Services,3.7,"Shawnee, KS",51 to 200 Employees,1979,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),33,73,53.0, KS,42,0,0,0,0,0
Senior Data Scientist,$86K - $137K (Glassdoor est.),Data Scientist,"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),86,137,111.5, MD,85,0,0,0,0,0
ASSOCIATE SCIENTIST,$30K - $69K (Glassdoor est.),Research Scientist,"Job Summary
This position reports to the supervisor for the functional area to which they are assigned and has no direct reports. The Associate Scientist position works closely with other departments, such as Operations, Validations, Product Development, Quality Systems, Product Release and Chemistry to assure the support of the Microbiology department on various projects, studies and routine tasks.

The individual holding the position of Associate Scientist shall be responsible for coordinating the timely completion of routine and project testing. This person will also be responsible for coordinating the timely completion of routine and special finished product testing and environmental issues. They will assist with the training of Production and Quality Control personnel in microbiological tests and methods. Must be available to work overtime as necessary.",Fresenius Kabi,3.7,"Grand Island, NY",10000+ Employees,-1,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$5 to $10 billion (USD),30,69,49.5, NY,-1,0,0,0,0,0
Spark/Big Data Engineer,$61K - $110K (Glassdoor est.),Data Engineer,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
5+ years’ experience with Relational Database Systems and SQL",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),61,110,85.5, MD,85,0,0,0,1,0
Senior Solutions Engineer (Data Scientist / ML Engineer) - West Coast,$160K - $254K (Glassdoor est.),Data Scientist,"COMPANY OVERVIEW:
H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with its visionary machine learning platform. More than 18,000 companies use open-source H2O for mission-critical use cases. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and more cost-effective means of implementing data science. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.

ABOUT THE ROLE:
Machine learning is a rapidly growing field and h2o.ai is leading the charge. If you are passionate about applying cutting-edge AI ML algorithms to solve real-world challenges and explain complex machine-learning concepts in simple business terms, then we want to hear from you!",h2o.ai,3.8,"Mountain View, CA",201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,160,254,207.0, CA,10,0,0,0,0,0
Sr. Data Scientist,$83K - $138K (Glassdoor est.),Data Scientist,"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.
What CNA offers",CNA Insurance,3.6,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),83,138,110.5, IL,124,0,0,0,0,0
Research Scientist - Radar,$66K - $135K (Glassdoor est.),Research Scientist,"IAI is looking for highly motivated Research Scientists with experience in radar theory and simulations, radar system design and signal processing. In this role you will conduct research and development for innovative advanced radar system design, modeling and simulation. The areas of interest include advanced radar processing, target detection, Phased Array, digital beamforming, SAR, ISAR, MTI, and target tracking algorithms.

Required Skills
MS or PhD in Electrical Engineering (or a related field)
Experience in radar system design and simulations
Experience in implementing radar processing algorithms in MATLAB, C/C++, or Java, and generate simulation models to verify the algorithms",Intelligent Automation,3.7,"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),66,135,100.5, MD,34,0,0,0,0,0
Staff Data Scientist,$101K - $161K (Glassdoor est.),Data Scientist,"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.","Alteryx, Inc.",3.6,"Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),101,161,131.0, MA,24,0,0,0,0,0
Software Developer,$46K - $82K (Glassdoor est.),Software Developer,"You didn’t get in to this field to do the same types of tasks over and over; that’s boring. Consider consulting, where everything changes – the business domain, the technology, the team, the users, the client – everything. Constant change means constant challenge and opportunity. Sound exciting? It isn’t for everyone, but if you thrive in this type of environment, you belong at Resource Data.
Ideally, you’ll have a couple years’ experience in .Net programming, mobile development, databases, and web applications; but, we’re more interested in your accomplishments than your current skills. To show you what we mean, look at your first year here.
To get started, you’ll get familiar with us by working on our internal business systems. This will give you a chance to get to know the business users, other developers, and team leads. You’ll get familiar with our internal development process and tools.","Resource Data, Inc.",4.3,"Portland, OR",201 to 500 Employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),46,82,64.0, OR,35,0,0,0,0,0
Deputy Helpdesk Manager,$46K - $82K (Glassdoor est.),Helpdesk Technician,"Req ID: 122066

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Deputy Helpdesk Manager to join our team in Nashville, Tennessee (US-TN), United States (US).

The program is an Enterprise Service Center that provides comprehensive service management, operations, and reporting capabilities. The NTT DATA Deputy Service Desk Manager will assist the Service Desk Manager in managing the performance of service desk (Level 1) to users in a dynamic forward-leaning environment and take full ownership

and accountability for ITIL Incident & Problem management processes, resolution coordination and client reporting. The customer-facing Deputy Service Desk Manager will be one of the client's main NTT DATA points of contact for driving and reporting on all incident and problem management activities arising from the delivery of service desk. The ideal candidate interfaces and coordinates with the Level 1 Service Desk, other tiers of support, other resolving groups and Third-Party Suppliers for Incident and Problem Management Service activities and takes full ownership of end-to-end Incident and Problem Resolution.












:

Up to 5% travel may be required

INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Nashville


Consulting, Information Systems, Manager, Business Manager, Computer Science, Technology, Management",NTT DATA Corporation,3.7,"Nashville, TN",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, TN,54,0,0,0,0,0
Compliance Analyst,$46K - $82K (Glassdoor est.),Compliance Analyst,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Summary
Bread is a technology company that aims to transform the world of paper credit card applications and hidden interest rates by providing leading point-of-sale financing options for merchants across the e-commerce journey. We build tools, technologies and APIs that allow merchants to integrate an installment loan financing and checkout experience anywhere in their customers’ shopping journey. Bread was started in 2015 by financial technology veterans, and has experienced explosive growth to date.








Associate's Degree
Two or more years
Compliance, Compliance Frameworks, Federal Reserve, Governance Controls, Governance Reporting, Office of Foreign Assets Control (OFAC), Regulatory Frameworks, Risk Mitigation
Legal


Regular",Alliance Data,3.3,"New York, NY",10000+ Employees,1996,Company - Public,Advertising & Marketing,Business Services,,46,82,64.0, NY,25,0,0,0,0,0
Lead Campaign Manager,$46K - $82K (Glassdoor est.),Campaign Manager,"General Summary:
The Lead Campaign Manager is responsible for oversight on primary accounts, managing daily workflow and monitoring team schedules. Works closely with Campaign Managers, Clients, Sales Team and Quality Assurance resources to ensure best practices are followed and campaign development is executed to client expectations.
This position is responsible for the daily campaign execution production within the Campaign Execution Services department, ensuring that all campaign deployment requests have been assigned resources and that work is distributed evenly among the available resources. Because of the fluctuations in workloads, the Lead may be required to help shift work from one resource to another, or to communicate with the client if deadlines may be compromised.
I. Essential Job Functions: *",Data Axle,3.5,Remote,1001 to 5000 Employees,1972,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$100 to $500 million (USD),46,82,64.0,Remote,49,0,0,0,0,0
Software Developer,$46K - $82K (Glassdoor est.),Software Developer,"We are currently seeking a software developer to join our team in High Point, NC. Candidate will have a high degree of technical skill and a broad understanding of programming concepts. We are looking for someone with a passion for programming and software design.
Preferred Data Corp. is a business to business full-service information technology company located in High Point, North Carolina. This is a full-time position that requires a local office presence.
Design, develop, maintain new applications and existing ones
Detect, report, investigate and fix defects
Requirement’s analysis, design, development, testing, commissioning and training",Preferred Data Corporation,-1.0,"High Point, NC",-1,-1,-1,-1,-1,-1,46,82,64.0, NC,-1,0,0,0,0,0
Vendor Marketing Manager III,$46K - $82K (Glassdoor est.),Marketing Manager,"Collaborates with management to define and develop marketing strategies to drive profitable growth
Identifies, establishes and maintains relationships with brand partners, third party vendors, etc. to leverage current offerings, opportunities and successes.
Increases agreed upon growth goals, drives demand generation and expands market share by identifying, planning and executing the activities required to ensure successful achievement of marketing business objectives.
Markets products/brands within budget to obtain maximum profitability.
Evaluates and adjusts strategies to respond to changing and/or competitive markets.
Such activities may include the following as well as other duties as assigned:
Essential Duties & Responsibilities Required",Tech Data Corporation,3.7,"Clearwater, FL",5001 to 10000 Employees,1974,Company - Public,Wholesale,Business Services,$10+ billion (USD),46,82,64.0, FL,47,0,0,0,0,0
Systems Engineering Specialist,$46K - $82K (Glassdoor est.),Systems Engineer,"Req ID: 111603

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Systems Engineering Specialist to join our team in Chicago, Illinois (US-IL), United States (US).

Job Responsibilities Include:
Provide client desktop images, configuration, software distribution and patching
Provide 3rd-level technical support in resolving internal and customer technical issues
Creation, Support & Implementation for Windows 7, 8, 8.1, 10 Imaging







Must be US Citizen and should have ability to get Security Clearance

INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Chicago


Consulting, Cloud, Technical Support, Project Manager, Technology",NTT DATA Corporation,3.7,"Chicago, IL",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, IL,54,0,0,0,0,0
Product Manager,$46K - $82K (Glassdoor est.),Product Manager,"Senior Product Manager
IDRs client is seeking a Senior Product Manager to join their team remotely.
Required Skills/Experience of the Senior Product Manager Include:
Deeply rooted in Agile, Lean, and continuous delivery principles that maximize flow of value with a passion to extend this understanding throughout the organization
Demonstrated success creating digital products vision, strategy, experience, and enterprise solutions and services - from ideation to launch, including engineering and operational quality
Experience working with a multi-disciplinary team on customer-focused products and services",Internal Data Resources,4.1,Remote,201 to 500 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),46,82,64.0,Remote,23,0,0,0,0,0
Scanning Technician,$46K - $82K (Glassdoor est.),Technician,"The candidate will work in Data Federal's Document Management and Digitization division which is focused on various scanning and shredding projects for the federal government. Data Federal is looking for candidates interested in full or part time employment.
Primary duties include: Preparing and scanning documents and materials – files, books, newspapers, maps, microfilm as well as performing quality control on all scanned materials. Candidate may also be assigned to shred scanned materials.
Qualifications:
The candidate should possess the following skills:
Excellent computer skills
Ability to do repetitive yet detail oriented work",Data Federal Corporation,3.2,"Columbia, MD",1 to 50 Employees,-1,Contract,-1,-1,$1 to $5 million (USD),46,82,64.0, MD,-1,0,0,0,0,1
Marketing Specialist,$46K - $82K (Glassdoor est.),Marketing Manager,"IDC is seeking an innovative Marketing Programs Specialist to accelerate the launch of our Future Enterprise Awards program.
The Marketing Program Specialist would oversee IDC's nine Future Enterprise practice awards programs. They would be responsible for promoting the awards, managing the outreach to potential nominees and the follow up needed to ensure a successful awards program. This individual will work closely with the VP of Marketing and other key stakeholders to identify key organizations and technology initiatives that would qualify for the awards programs and execute programs to attract nominations. They would also be involved in supporting marketing initiatives around the events where the awards would be highlighted and presented.
This role is located in IDC's Needham, MA headquarters. (Currently remote due to COVID-19.)",International Data Group,3.3,"Needham, MA",10000+ Employees,1964,Company - Private,Publishing,Media,$2 to $5 billion (USD),46,82,64.0, MA,57,0,0,0,0,0
Marketing Coordinator,$46K - $82K (Glassdoor est.),Marketing Coordinator,"Essential Duties & Responsibilities Required
Supports and manages the coordination of material collection for the marketing activities purchased by Tech Data's Vendor Partners.
Notifies and gathers the necessary marketing information needed in order to execute Business Partner participation within marketing activities, programs and campaigns for the Marketing Services Department.
Ensures client/stakeholder satisfaction.
Notifies respective internal clients/vendor partners of deadlines and upcoming activities.
Monitors assigned marketing activities to ensure timely and accurate completion.
Reconciles assigned jobs as well as provides updates in a tracking database.",Tech Data Corporation,3.7,"Clearwater, FL",5001 to 10000 Employees,1974,Company - Public,Wholesale,Business Services,$10+ billion (USD),46,82,64.0, FL,47,0,0,0,0,0
Materials Manager,$46K - $82K (Glassdoor est.),Materials Manager,"Bachelor's degree in Business or other related quantitative discipline
5+ years of related professional experience
3+ years of experience using data analysis tools such as Microsoft Excel, SQL, statistics software, etc.)

AWS Infrastructure is looking for a talented, driven, and highly analytical,Materials Manager with demonstrated experience driving process improvement.

This individual will be responsible for leading inventory management strategies to maximize customer experience, inventory levels, and operational efficiency. Materials Management is critical to protecting manufacturing capacity and delivering the end product to our customer at the right time.

RESPONSIBILITIES:
Vendor Management
Supply Chain
Automation Enhancement
Up to 10% Travel required","Amazon Data Services, Inc.",3.8,"Florence, KY",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),46,82,64.0, KY,27,0,0,1,0,1
Business IT Merger & Acquisition Strategy Sr. Manager,$46K - $82K (Glassdoor est.),Strategy Manager,"Req ID: 105976

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Business IT Merger & Acquisition Strategy Sr. Manager to join our team in Boston, Massachusetts (US-MA), United States (US).

In this role resource will be responsible for:

Advising senior IT executives (e.g., CIO, VP IT, IT Director) at our Manufacturing and Life Sciences clients that are undergoing a merger, acquisition, or divestiture.



* Leading IT MA&D Advisory and Execution Programs for clients * Creating work plans, pricing estimates, and risk assessments to support the pre-sales process * Understanding client investment needs/constraints and help tailor proposals appropriately to meet their needs

Basic Qualifications for this role include:







#Bconsult

#LI-NAM



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.





Boston


Consulting, Database, ERP, Oracle, Manager, Technology, Management",NTT DATA Corporation,3.7,"Boston, MA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, MA,54,0,0,0,0,0
Flexcube SME with Loan IQ expertise,$46K - $82K (Glassdoor est.),Loan Administrator,"Req ID: 113108

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Flexcube SME with Loan IQ expertise to join our team in Dallas, Texas (US-TX), United States (US).

The Flexcube & Loan IQ Subject Matter Expert (SME) will support projects/programs through analysis, design, testing, migration, and implementation. Provide Flexcube SME knowledge, functional system expertise and support to development resources and users. Support the conversion mapping from Flexcube to build the required extracts. Support business/Operations/Tech in analyzing the various feeds currently generated in Flex Loans. Provide various data requests by understanding the requirements and building the required queries to generate reports in a timely manner. The Flexcube & Loan IQ SME will ensure the process outputs needed by the project team are created in a timely fashion including business and functional requirements, use cases, flow diagrams, and etc.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Consulting, Management Consulting, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, GA,54,0,0,0,0,0
